id,tweet_id,body,picture,likes,urls,expanded_urls,actor,pictures,pictures_title,pictures_description,time,class,experiment_group
2,1333871504363294720,.@PeteWilliamsNBC reports on the likelihood of the US Supreme Court approving President Trump's plan to exclude undocumented immigrants from the census count. ,card_image_2.jpg,2,https://t.co/IEWMBRWQJh,https://on.msnbc.com/2Jguf6H,MSNBC,card_image_2.jpg,Supreme Court hears arguments in case to exclude undocumented immigrants from census,NBC News justice correspondent Pete Williams reports on the likelihood of the Supreme Court approving Trump's plan to exclude undocumented immigrants from the census count.,-00:00,cohort,var1
3,1333870933820502019,"“I’ve got a great relationship with B.A. (Bruce Arians), and we talk every day,"" Bucs quarterback Tom Brady said ""I’ve got a lot of respect for him and how he runs the team and so forth.”
",card_image_3.jpg,2,https://t.co/YiHFprtwvX,https://trib.al/NfPwrcV,TB_Times,card_image_3.jpg,Tom Brady insists he still has a ‘great relationship’ with Bruce Arians,"Meantime, national criticism over the Bucs’ offensive scheme is reaching a crescendo.",-00:02,cohort,var1
4,1333867735240028162,"“Our food pantries that would normally see ... 40 people, now have like 400 people coming. As you can imagine, the resources to do that is immense,” Richard Slizeski, SVP at Catholic Charities of Brooklyn &amp; Queens, says about the impact of Covid-19. ",card_image_4.jpg,68,https://t.co/Kg8mhQwPol,https://on.msnbc.com/2VpMEjO,MSNBC,card_image_4.jpg,"Giving Tuesday: Catholic Charities Brooklyn, Queens assisting families in need","Richard Slizeski, senior vice president for mission at Catholic Charities Brooklyn &amp; Queens, tells MSNBC how things have changed over the last seven months while running a food bank in Queens and the biggest challenges the organization faces.",-00:15,cohort,var1
5,1333865566654885891,"RT @sahilkapur: Chuck Schumer responds to AG Barr saying he hasn't uncovered widespread voter fraud: ""I guess he's the next one to be fired…",,0,,,MSNBC,,,,-00:24,cohort,var1
6,1333865217021915146,The former Bucs player was arrested for a DUI with a child in the car. ,card_image_6.jpg,1,https://t.co/MbO0YTKmdC,https://trib.al/3SsFzAx,TB_Times,card_image_6.jpg,"Former Bucs player Chris Hovan faces DUI, child neglect charges","Hovan was driving while impaired with a child in the passenger seat, according to the Pinellas County Sheriff’s Office.",-00:25,cohort,var1
7,1333864203015303176,"Crash in German city of Trier leaves five dead, including a 9-month-old; prosecutor says motive of man arrested is unclear, with no immediate signs of terrorist, political or religious motivation. ",card_image_7.jpg,32,https://t.co/FhTzG0hvJM,https://on.msnbc.com/36spT51,MSNBC,card_image_7.jpg,"5 killed, including a 9-month-old, after car drives into pedestrian area in Germany","A 51-year-old local man has been arrested and one vehicle seized, Trier police said.",-00:29,cohort,var1
8,1333863813431652361,"Florida became the third state to exceed 1 million COVID-19 cases, adding 8,847 infections and 82 deaths Tuesday: 
",card_image_8.jpg,3,https://t.co/kVbtE6Wm5d,https://www.tampabay.com/news/health/2020/12/01/florida-surpasses-1-million-coronavirus-cases/,TB_Times,card_image_8.jpg,Florida surpasses 1 million coronavirus cases,The state trails behind only California and Texas for the most coronavirus cases since late January.,-00:31,cohort,var1
9,1333863551027523595,NEW: AG Barr tells the AP that the U.S. Justice Dept. has not uncovered evidence of widespread voter fraud that would change the outcome of the 2020 presidential election. ,card_image_9.jpg,823,https://t.co/064r17xS7F,https://on.msnbc.com/2VpbwZ6,MSNBC,card_image_9.jpg,Barr: Justice Department found no evidence of fraud that would change election outcome,Attorney General William Barr told the Associated Press that the Department of Justice has found no evidence of fraud that would change the result of the presidential election. NBC's Pete Williams has details.,-00:32,cohort,var1
10,1333860865272127498,BREAKING: Florida has recorded more than a million coronavirus cases during the pandemic:  https://t.co/LeWFDdMIWw,card_image_10.jpg,24,https://t.co/k3ZJtBdd9n,https://trib.al/qRasYUB,TB_Times,card_image_10.jpg,Coronavirus in Florida | Tampa Bay Times,"Coronavirus cases have been confirmed in the Tampa Bay area and across the state. Read the latest news from the Tampa Bay Times on the COVID-19 pandemic as well as helpful tips, FAQ, event cancellations and more.",-00:42,cohort,var1
11,1333859449199595521,".@marcambinder: Dr. Scott Atlas cared more about “owning the libs” than Covid-19. And Americans paid the price.
",card_image_11.jpg,158,https://t.co/ihXDoVE8XX,https://on.msnbc.com/3ojRQ5j,MSNBC,card_image_11.jpg,Scott Atlas' biggest mistake? Caring more about 'owning the libs' than protecting America.,We’ll be feeling the after-effects of Trump’s war on science for a long time.,-00:48,cohort,var1
12,1333859316651134979,"BREAKING: In interview with the AP, AG Barr says the Justice Dept. hasn’t uncovered widespread voting fraud that would change the outcome of the 2020 election. https://t.co/qryws7Dq2a",,766,,,MSNBC,,,,-00:49,cohort,var1
13,1333859285504286721,"“To date, we have not seen fraud on a scale that could have affected a different outcome in the election,” Barr said in an interview Tuesday. ",card_image_13.jpg,15,https://t.co/29MXDhPZq9,https://trib.al/kKnUOkp,TB_Times,card_image_13.jpg,Barr: No evidence of fraud that’d change election outcome,"His comments come despite President Donald Trump’s repeated claims that the election was stolen, and his refusal to concede his loss to President-Elect Joe Biden. ",-00:49,cohort,var1
14,1333858605179809792,"LIVE NOW! Press Conference by Amistad Project: “Election Whistleblowers Come Forward”
",card_image_14.jpg,36030,https://t.co/Yjh1GsxGvS,https://www.youtube.com/watch?v=av-yC4mR5xo,realDonaldTrump,card_image_14.jpg,LIVE: Press Conference by Amistad Project on &#39;Election Whistleblowers Come Forward&#39; (Dec. 1) | NTD,LIVE: Press Conference by Amistad Project on &#39;Election Whistleblowers Come Forward&#39; (Dec. 1) #whistleblowers #VoterFraud #Election2020 --------------------- ...,-00:51,cohort,var1
